Destination Name,State,Region,Category,Popular Attraction,Accessibility,Best Season
Mehrangarh Fort,Rajasthan,North,Historical,Fort,Moderate,Monsoon
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Easy,Monsoon
Baga Beach,Goa,West,Beach,Beach,Moderate,Monsoon
Dwarkadhish Temple,Gujarat,West,Religious,Temple,Moderate,Winter
Calangute Beach,Goa,West,Beach,Beach,Easy,Winter
India Gate,Delhi,North,Historical,Monument,Easy,Monsoon
Tirupati Balaji Temple,Andhra Pradesh,South,Religious,Temple,Moderate,Summer
Radhanagar Beach,Andaman and Nicobar Islands,Islands,Beach,Beach,Difficult,Monsoon
Chilika Lake,Odisha,East,Nature,Lake,Easy,All Season
Kohima War Cemetery,Nagaland,Northeast,Historical,Monument,Easy,Winter
Cherrapunji,Meghalaya,Northeast,Nature,Waterfall Region,Difficult,Winter
Periyar Wildlife Sanctuary,Kerala,South,Wildlife,Sanctuary,Difficult,Summer
Statue of Unity,Gujarat,West,Historical,Monument,Easy,Winter
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Easy,Summer
Rock Garden,Chandigarh,North,Nature,Garden,Difficult,Monsoon
Tawang Monastery,Arunachal Pradesh,Northeast,Religious,Monastery,Difficult,Summer
Rann of Kutch,Gujarat,West,Nature,Salt Desert,Moderate,Summer
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Moderate,Summer
Taj Mahal,Uttar Pradesh,North,Historical,Monument,Difficult,Summer
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Difficult,Summer
Araku Valley,Andhra Pradesh,South,Nature,Valley,Difficult,Winter
Chitrakote Falls,Chhattisgarh,Central,Nature,Waterfall,Moderate,All Season
Kamakhya Temple,Assam,Northeast,Religious,Temple,Difficult,Monsoon
Amber Fort,Rajasthan,North,Historical,Fort,Easy,Summer
Solang Valley,Himachal Pradesh,North,Adventure,Valley,Moderate,All Season
Loktak Lake,Manipur,Northeast,Nature,Lake,Difficult,Winter
Qutub Minar,Delhi,North,Historical,Monument,Moderate,All Season
Kedarnath Temple,Uttarakhand,North,Religious,Temple,Easy,Monsoon
Nalanda Ruins,Bihar,East,Historical,Monument,Easy,Winter
Mehrangarh Fort,Rajasthan,North,Historical,Fort,Difficult,Monsoon
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Difficult,All Season
Cellular Jail,Andaman and Nicobar Islands,Islands,Historical,Monument,Easy,Winter
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Moderate,Summer
Jaisalmer Fort,Rajasthan,North,Historical,Fort,Difficult,Winter
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Moderate,Winter
Hampi,Karnataka,South,Historical,Monument,Moderate,All Season
Agra Fort,Uttar Pradesh,North,Historical,Fort,Moderate,Winter
Varkala Beach,Kerala,South,Beach,Beach,Moderate,Monsoon
Meenakshi Temple,Tamil Nadu,South,Religious,Temple,Difficult,Summer
Tirupati Balaji Temple,Andhra Pradesh,South,Religious,Temple,Difficult,All Season
Jog Falls,Karnataka,South,Nature,Waterfall,Difficult,Monsoon
Marine Drive,Maharashtra,West,Nature,Sea Promenade,Moderate,Monsoon
Taj Mahal,Uttar Pradesh,North,Historical,Monument,Difficult,Monsoon
Sukhna Lake,Chandigarh,North,Nature,Lake,Easy,All Season
Tawang Monastery,Arunachal Pradesh,Northeast,Religious,Monastery,Easy,Winter
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Easy,Monsoon
Ziro Valley,Arunachal Pradesh,Northeast,Nature,Valley,Moderate,Winter
Konark Sun Temple,Odisha,East,Historical,Temple,Difficult,Winter
Dwarkadhish Temple,Gujarat,West,Religious,Temple,Moderate,Summer
Meenakshi Temple,Tamil Nadu,South,Religious,Temple,Moderate,Summer
Gir National Park,Gujarat,West,Wildlife,National Park,Difficult,All Season
Ooty,Tamil Nadu,South,Nature,Hill Station,Moderate,Monsoon
Jog Falls,Karnataka,South,Nature,Waterfall,Easy,Summer
Marine Drive,Maharashtra,West,Nature,Sea Promenade,Difficult,All Season
Marine Drive,Maharashtra,West,Nature,Sea Promenade,Moderate,Winter
Ujjayanta Palace,Tripura,Northeast,Historical,Palace,Easy,Summer
Periyar Wildlife Sanctuary,Kerala,South,Wildlife,Sanctuary,Difficult,Monsoon
Calangute Beach,Goa,West,Beach,Beach,Easy,All Season
India Gate,Delhi,North,Historical,Monument,Moderate,Monsoon
Sundarbans National Park,West Bengal,East,Wildlife,National Park,Easy,Winter
Pahalgam,Jammu and Kashmir,North,Nature,Valley,Difficult,Monsoon
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Difficult,Monsoon
Mysore Palace,Karnataka,South,Historical,Palace,Easy,Summer
Bhimbetka Rock Shelters,Madhya Pradesh,Central,Historical,Cave,Difficult,Monsoon
Ooty,Tamil Nadu,South,Nature,Hill Station,Easy,Winter
Konark Sun Temple,Odisha,East,Historical,Temple,Easy,All Season
Golconda Fort,Telangana,South,Historical,Fort,Moderate,Summer
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Easy,Winter
Ramoji Film City,Telangana,South,Entertainment,Theme Park,Moderate,Summer
Red Fort,Delhi,North,Historical,Fort,Moderate,All Season
Vaishno Devi Temple,Jammu and Kashmir,North,Religious,Temple,Easy,Monsoon
Ramoji Film City,Telangana,South,Entertainment,Theme Park,Moderate,Winter
Kedarnath Temple,Uttarakhand,North,Religious,Temple,Difficult,All Season
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Moderate,Monsoon
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Moderate,Monsoon
Tawang Monastery,Arunachal Pradesh,Northeast,Religious,Monastery,Moderate,Winter
Cherrapunji,Meghalaya,Northeast,Nature,Waterfall Region,Moderate,Monsoon
Rock Garden,Chandigarh,North,Nature,Garden,Easy,Monsoon
Charminar,Telangana,South,Historical,Monument,Easy,All Season
Amber Fort,Rajasthan,North,Historical,Fort,Difficult,All Season
Varanasi Ghats,Uttar Pradesh,North,Religious,Riverfront,Difficult,Winter
Ajanta Caves,Maharashtra,West,Historical,Cave,Difficult,Summer
Alleppey Backwaters,Kerala,South,Nature,Backwaters,Moderate,Summer
Amber Fort,Rajasthan,North,Historical,Fort,Easy,Monsoon
Fatehpur Sikri,Uttar Pradesh,North,Historical,Monument,Easy,All Season
Mysore Palace,Karnataka,South,Historical,Palace,Easy,Monsoon
Rann of Kutch,Gujarat,West,Nature,Salt Desert,Difficult,Summer
Borra Caves,Andhra Pradesh,South,Nature,Cave,Easy,Summer
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Moderate,Monsoon
Gangtok,Sikkim,Northeast,Nature,Hill City,Moderate,Summer
Tawang Monastery,Arunachal Pradesh,Northeast,Religious,Monastery,Easy,All Season
Mysore Palace,Karnataka,South,Historical,Palace,Difficult,Winter
Alleppey Backwaters,Kerala,South,Nature,Backwaters,Moderate,Monsoon
Baga Beach,Goa,West,Beach,Beach,Easy,All Season
Kodaikanal,Tamil Nadu,South,Nature,Hill Station,Difficult,Monsoon
Marina Beach,Tamil Nadu,South,Beach,Beach,Difficult,All Season
Dudhsagar Waterfalls,Goa,West,Nature,Waterfall,Difficult,Winter
Hundru Falls,Jharkhand,East,Nature,Waterfall,Moderate,Winter
Bandipur National Park,Karnataka,South,Wildlife,National Park,Difficult,All Season
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Easy,Summer
Bangaram Island,Lakshadweep,Islands,Beach,Island,Easy,Winter
Dwarkadhish Temple,Gujarat,West,Religious,Temple,Difficult,Monsoon
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Moderate,All Season
Solang Valley,Himachal Pradesh,North,Adventure,Valley,Moderate,Monsoon
Tsomgo Lake,Sikkim,Northeast,Nature,Lake,Moderate,Winter
Ujjayanta Palace,Tripura,Northeast,Historical,Palace,Moderate,All Season
Mahabaleshwar,Maharashtra,West,Nature,Hill Station,Difficult,Winter
Konark Sun Temple,Odisha,East,Historical,Temple,Moderate,All Season
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Moderate,Monsoon
Mehrangarh Fort,Rajasthan,North,Historical,Fort,Easy,Summer
Cherrapunji,Meghalaya,Northeast,Nature,Waterfall Region,Difficult,Summer
Sarnath,Uttar Pradesh,North,Religious,Monument,Moderate,Winter
Kanha National Park,Madhya Pradesh,Central,Wildlife,National Park,Moderate,Winter
Araku Valley,Andhra Pradesh,South,Nature,Valley,Easy,Monsoon
Solang Valley,Himachal Pradesh,North,Adventure,Valley,Moderate,Winter
Tirupati Balaji Temple,Andhra Pradesh,South,Religious,Temple,Moderate,Monsoon
Chilika Lake,Odisha,East,Nature,Lake,Easy,Summer
Somnath Temple,Gujarat,West,Religious,Temple,Easy,Winter
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Difficult,Monsoon
Shimla,Himachal Pradesh,North,Nature,Hill Station,Easy,Winter
Jaisalmer Fort,Rajasthan,North,Historical,Fort,Easy,All Season
Shimla,Himachal Pradesh,North,Nature,Hill Station,Easy,Summer
Dudhsagar Waterfalls,Goa,West,Nature,Waterfall,Easy,Winter
Jaisalmer Fort,Rajasthan,North,Historical,Fort,Difficult,All Season
Nalanda Ruins,Bihar,East,Historical,Monument,Difficult,Summer
Fatehpur Sikri,Uttar Pradesh,North,Historical,Monument,Moderate,Winter
Rock Garden,Chandigarh,North,Nature,Garden,Difficult,Summer
Kanha National Park,Madhya Pradesh,Central,Wildlife,National Park,Moderate,Monsoon
Charminar,Telangana,South,Historical,Monument,Easy,Winter
Sarnath,Uttar Pradesh,North,Religious,Monument,Easy,Winter
Meenakshi Temple,Tamil Nadu,South,Religious,Temple,Difficult,All Season
Mysore Palace,Karnataka,South,Historical,Palace,Difficult,Monsoon
Borra Caves,Andhra Pradesh,South,Nature,Cave,Difficult,Summer
Coorg,Karnataka,South,Nature,Hill Station,Easy,Monsoon
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Difficult,Summer
Kedarnath Temple,Uttarakhand,North,Religious,Temple,Moderate,All Season
Fatehpur Sikri,Uttar Pradesh,North,Historical,Monument,Moderate,Monsoon
Coorg,Karnataka,South,Nature,Hill Station,Moderate,Winter
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Easy,Winter
Alleppey Backwaters,Kerala,South,Nature,Backwaters,Easy,Summer
Amber Fort,Rajasthan,North,Historical,Fort,Difficult,Monsoon
Badrinath Temple,Uttarakhand,North,Religious,Temple,Moderate,Monsoon
Manali,Himachal Pradesh,North,Nature,Hill Station,Difficult,Winter
Mysore Palace,Karnataka,South,Historical,Palace,Moderate,Summer
Ujjayanta Palace,Tripura,Northeast,Historical,Palace,Easy,Winter
Dudhsagar Waterfalls,Goa,West,Nature,Waterfall,Easy,Monsoon
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Moderate,Summer
Shirdi Temple,Maharashtra,West,Religious,Temple,Moderate,Winter
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Difficult,All Season
Borra Caves,Andhra Pradesh,South,Nature,Cave,Difficult,All Season
Chilika Lake,Odisha,East,Nature,Lake,Moderate,Monsoon
Mehrangarh Fort,Rajasthan,North,Historical,Fort,Difficult,Winter
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Moderate,Summer
Brihadeeswarar Temple,Tamil Nadu,South,Religious,Temple,Easy,Winter
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Easy,All Season
Ajanta Caves,Maharashtra,West,Historical,Cave,Difficult,All Season
Charminar,Telangana,South,Historical,Monument,Difficult,Winter
Ziro Valley,Arunachal Pradesh,Northeast,Nature,Valley,Easy,Monsoon
Marina Beach,Tamil Nadu,South,Beach,Beach,Easy,Summer
India Gate,Delhi,North,Historical,Monument,Difficult,Summer
Chilika Lake,Odisha,East,Nature,Lake,Moderate,Winter
Agra Fort,Uttar Pradesh,North,Historical,Fort,Easy,Monsoon
Munnar,Kerala,South,Nature,Hill Station,Difficult,Monsoon
Gir National Park,Gujarat,West,Wildlife,National Park,Moderate,All Season
Marine Drive,Maharashtra,West,Nature,Sea Promenade,Easy,Monsoon
Somnath Temple,Gujarat,West,Religious,Temple,Difficult,Summer
Tirupati Balaji Temple,Andhra Pradesh,South,Religious,Temple,Difficult,Monsoon
Rishikesh,Uttarakhand,North,Adventure,Riverfront,Moderate,Monsoon
Cherrapunji,Meghalaya,Northeast,Nature,Waterfall Region,Moderate,All Season
Jaisalmer Fort,Rajasthan,North,Historical,Fort,Moderate,Winter
Ellora Caves,Maharashtra,West,Historical,Cave,Difficult,Winter
Loktak Lake,Manipur,Northeast,Nature,Lake,Easy,All Season
Golconda Fort,Telangana,South,Historical,Fort,Easy,Monsoon
Tirupati Balaji Temple,Andhra Pradesh,South,Religious,Temple,Difficult,Summer
Bhimbetka Rock Shelters,Madhya Pradesh,Central,Historical,Cave,Easy,Monsoon
Nalanda Ruins,Bihar,East,Historical,Monument,Easy,Summer
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Difficult,Monsoon
Marine Drive,Maharashtra,West,Nature,Sea Promenade,Easy,Winter
Loktak Lake,Manipur,Northeast,Nature,Lake,Moderate,Winter
Munnar,Kerala,South,Nature,Hill Station,Easy,Monsoon
Shirdi Temple,Maharashtra,West,Religious,Temple,Difficult,Winter
Bandipur National Park,Karnataka,South,Wildlife,National Park,Difficult,Winter
Varkala Beach,Kerala,South,Beach,Beach,Easy,All Season
Vaishno Devi Temple,Jammu and Kashmir,North,Religious,Temple,Difficult,Summer
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Easy,All Season
Kedarnath Temple,Uttarakhand,North,Religious,Temple,Easy,Winter
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Moderate,Monsoon
Pahalgam,Jammu and Kashmir,North,Nature,Valley,Difficult,All Season
Amber Fort,Rajasthan,North,Historical,Fort,Easy,All Season
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Easy,All Season
Kamakhya Temple,Assam,Northeast,Religious,Temple,Easy,Monsoon
Radhanagar Beach,Andaman and Nicobar Islands,Islands,Beach,Beach,Difficult,All Season
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Moderate,Monsoon
Darjeeling,West Bengal,East,Nature,Hill Station,Moderate,Monsoon
Jog Falls,Karnataka,South,Nature,Waterfall,Easy,Monsoon
Coorg,Karnataka,South,Nature,Hill Station,Moderate,Summer
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Difficult,All Season
Ziro Valley,Arunachal Pradesh,Northeast,Nature,Valley,Moderate,All Season
Hawa Mahal,Rajasthan,North,Historical,Monument,Moderate,Summer
Coorg,Karnataka,South,Nature,Hill Station,Difficult,Winter
Agra Fort,Uttar Pradesh,North,Historical,Fort,Moderate,Summer
Dwarkadhish Temple,Gujarat,West,Religious,Temple,Easy,All Season
Agra Fort,Uttar Pradesh,North,Historical,Fort,Difficult,Winter
Alleppey Backwaters,Kerala,South,Nature,Backwaters,Difficult,All Season
Valley of Flowers National Park,Uttarakhand,North,Nature,National Park,Difficult,Monsoon
Munnar,Kerala,South,Nature,Hill Station,Moderate,Winter
Ramoji Film City,Telangana,South,Entertainment,Theme Park,Difficult,Monsoon
Pahalgam,Jammu and Kashmir,North,Nature,Valley,Easy,Monsoon
Hawa Mahal,Rajasthan,North,Historical,Monument,Difficult,Summer
Ooty,Tamil Nadu,South,Nature,Hill Station,Difficult,Summer
Mysore Palace,Karnataka,South,Historical,Palace,Difficult,Summer
Varkala Beach,Kerala,South,Beach,Beach,Difficult,Monsoon
Chilika Lake,Odisha,East,Nature,Lake,Easy,Winter
Pahalgam,Jammu and Kashmir,North,Nature,Valley,Moderate,All Season
Qutub Minar,Delhi,North,Historical,Monument,Difficult,Summer
Cellular Jail,Andaman and Nicobar Islands,Islands,Historical,Monument,Difficult,Monsoon
Solang Valley,Himachal Pradesh,North,Adventure,Valley,Difficult,Monsoon
Kaziranga National Park,Assam,Northeast,Wildlife,National Park,Moderate,All Season
Gateway of India,Maharashtra,West,Historical,Monument,Easy,All Season
Chilika Lake,Odisha,East,Nature,Lake,Moderate,Summer
Dudhsagar Waterfalls,Goa,West,Nature,Waterfall,Difficult,All Season
Coorg,Karnataka,South,Nature,Hill Station,Easy,Winter
Mahabaleshwar,Maharashtra,West,Nature,Hill Station,Difficult,Summer
Brihadeeswarar Temple,Tamil Nadu,South,Religious,Temple,Moderate,Monsoon
Baga Beach,Goa,West,Beach,Beach,Moderate,Winter
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Difficult,Summer
Golconda Fort,Telangana,South,Historical,Fort,Easy,All Season
Sundarbans National Park,West Bengal,East,Wildlife,National Park,Easy,Monsoon
Mahabodhi Temple,Bihar,East,Religious,Temple,Difficult,Monsoon
Sabarimala Temple,Kerala,South,Religious,Temple,Moderate,Summer
Calangute Beach,Goa,West,Beach,Beach,Difficult,Winter
Fatehpur Sikri,Uttar Pradesh,North,Historical,Monument,Moderate,Summer
Golconda Fort,Telangana,South,Historical,Fort,Difficult,Monsoon
Darjeeling,West Bengal,East,Nature,Hill Station,Easy,Winter
Brihadeeswarar Temple,Tamil Nadu,South,Religious,Temple,Moderate,Summer
Taj Mahal,Uttar Pradesh,North,Historical,Monument,Difficult,All Season
Hundru Falls,Jharkhand,East,Nature,Waterfall,Difficult,Monsoon
Ajanta Caves,Maharashtra,West,Historical,Cave,Easy,Winter
Kohima War Cemetery,Nagaland,Northeast,Historical,Monument,Moderate,All Season
Varkala Beach,Kerala,South,Beach,Beach,Difficult,All Season
Mahabodhi Temple,Bihar,East,Religious,Temple,Moderate,Monsoon
Ramoji Film City,Telangana,South,Entertainment,Theme Park,Difficult,Winter
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Easy,Winter
Varanasi Ghats,Uttar Pradesh,North,Religious,Riverfront,Moderate,Winter
Calangute Beach,Goa,West,Beach,Beach,Easy,Monsoon
Fatehpur Sikri,Uttar Pradesh,North,Historical,Monument,Difficult,All Season
Shillong,Meghalaya,Northeast,Nature,Hill Station,Difficult,Winter
Gateway of India,Maharashtra,West,Historical,Monument,Easy,Monsoon
Marina Beach,Tamil Nadu,South,Beach,Beach,Easy,All Season
Ellora Caves,Maharashtra,West,Historical,Cave,Easy,Winter
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Difficult,Monsoon
Valley of Flowers National Park,Uttarakhand,North,Nature,National Park,Difficult,Summer
Valley of Flowers National Park,Uttarakhand,North,Nature,National Park,Easy,Winter
India Gate,Delhi,North,Historical,Monument,Moderate,Summer
Nalanda Ruins,Bihar,East,Historical,Monument,Moderate,Summer
Alleppey Backwaters,Kerala,South,Nature,Backwaters,Easy,Monsoon
Borra Caves,Andhra Pradesh,South,Nature,Cave,Difficult,Winter
Fort Aguada,Goa,West,Historical,Fort,Easy,Winter
Tawang Monastery,Arunachal Pradesh,Northeast,Religious,Monastery,Difficult,Winter
Statue of Unity,Gujarat,West,Historical,Monument,Difficult,Monsoon
Munnar,Kerala,South,Nature,Hill Station,Moderate,All Season
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Moderate,All Season
Ujjayanta Palace,Tripura,Northeast,Historical,Palace,Difficult,Monsoon
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Moderate,Summer
Victoria Memorial,West Bengal,East,Historical,Monument,Difficult,Winter
Gulmarg,Jammu and Kashmir,North,Adventure,Hill Station,Moderate,Winter
Loktak Lake,Manipur,Northeast,Nature,Lake,Moderate,Summer
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Difficult,All Season
Jagannath Temple,Odisha,East,Religious,Temple,Moderate,Monsoon
Calangute Beach,Goa,West,Beach,Beach,Moderate,Winter
Chitrakote Falls,Chhattisgarh,Central,Nature,Waterfall,Difficult,All Season
Mysore Palace,Karnataka,South,Historical,Palace,Moderate,Monsoon
Periyar Wildlife Sanctuary,Kerala,South,Wildlife,Sanctuary,Difficult,All Season
Statue of Unity,Gujarat,West,Historical,Monument,Difficult,Winter
Sukhna Lake,Chandigarh,North,Nature,Lake,Moderate,Monsoon
Amber Fort,Rajasthan,North,Historical,Fort,Moderate,Winter
Jog Falls,Karnataka,South,Nature,Waterfall,Moderate,All Season
Cellular Jail,Andaman and Nicobar Islands,Islands,Historical,Monument,Moderate,Winter
Baga Beach,Goa,West,Beach,Beach,Difficult,Winter
Bhimbetka Rock Shelters,Madhya Pradesh,Central,Historical,Cave,Difficult,Summer
Fort Aguada,Goa,West,Historical,Fort,Difficult,Winter
Gir National Park,Gujarat,West,Wildlife,National Park,Moderate,Monsoon
Bangaram Island,Lakshadweep,Islands,Beach,Island,Difficult,Monsoon
Chitrakote Falls,Chhattisgarh,Central,Nature,Waterfall,Difficult,Summer
Varkala Beach,Kerala,South,Beach,Beach,Moderate,Summer
Shillong,Meghalaya,Northeast,Nature,Hill Station,Difficult,All Season
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Difficult,Monsoon
Dal Lake,Jammu and Kashmir,North,Nature,Lake,Easy,Summer
Varanasi Ghats,Uttar Pradesh,North,Religious,Riverfront,Easy,Summer
Agra Fort,Uttar Pradesh,North,Historical,Fort,Moderate,Monsoon
Valley of Flowers National Park,Uttarakhand,North,Nature,National Park,Difficult,Winter
Marina Beach,Tamil Nadu,South,Beach,Beach,Moderate,Monsoon
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Easy,Summer
Kohima War Cemetery,Nagaland,Northeast,Historical,Monument,Moderate,Monsoon
Chitrakote Falls,Chhattisgarh,Central,Nature,Waterfall,Difficult,Monsoon
Mysore Palace,Karnataka,South,Historical,Palace,Moderate,All Season
Marina Beach,Tamil Nadu,South,Beach,Beach,Moderate,Winter
Manali,Himachal Pradesh,North,Nature,Hill Station,Easy,Monsoon
City Palace Udaipur,Rajasthan,North,Historical,Palace,Easy,Winter
Rishikesh,Uttarakhand,North,Adventure,Riverfront,Difficult,Summer
Shirdi Temple,Maharashtra,West,Religious,Temple,Moderate,All Season
Periyar Wildlife Sanctuary,Kerala,South,Wildlife,Sanctuary,Moderate,Summer
Badrinath Temple,Uttarakhand,North,Religious,Temple,Difficult,All Season
Rishikesh,Uttarakhand,North,Adventure,Riverfront,Easy,Winter
Hundru Falls,Jharkhand,East,Nature,Waterfall,Easy,Winter
Tsomgo Lake,Sikkim,Northeast,Nature,Lake,Difficult,All Season
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Easy,Monsoon
Meenakshi Temple,Tamil Nadu,South,Religious,Temple,Easy,Summer
Loktak Lake,Manipur,Northeast,Nature,Lake,Moderate,All Season
Munnar,Kerala,South,Nature,Hill Station,Difficult,All Season
Kodaikanal,Tamil Nadu,South,Nature,Hill Station,Moderate,Monsoon
Mysore Palace,Karnataka,South,Historical,Palace,Moderate,Winter
Mahabaleshwar,Maharashtra,West,Nature,Hill Station,Easy,Summer
Kodaikanal,Tamil Nadu,South,Nature,Hill Station,Easy,Monsoon
Jagannath Temple,Odisha,East,Religious,Temple,Easy,All Season
Golconda Fort,Telangana,South,Historical,Fort,Difficult,Summer
Rohtang Pass,Himachal Pradesh,North,Adventure,Mountain Pass,Difficult,Winter
Kohima War Cemetery,Nagaland,Northeast,Historical,Monument,Moderate,Winter
Somnath Temple,Gujarat,West,Religious,Temple,Easy,Summer
Araku Valley,Andhra Pradesh,South,Nature,Valley,Difficult,All Season
Loktak Lake,Manipur,Northeast,Nature,Lake,Moderate,Monsoon
Borra Caves,Andhra Pradesh,South,Nature,Cave,Moderate,Winter
Hampi,Karnataka,South,Historical,Monument,Easy,Summer
Kanha National Park,Madhya Pradesh,Central,Wildlife,National Park,Moderate,All Season
Jog Falls,Karnataka,South,Nature,Waterfall,Moderate,Monsoon
Nalanda Ruins,Bihar,East,Historical,Monument,Moderate,Monsoon
Loktak Lake,Manipur,Northeast,Nature,Lake,Difficult,All Season
Somnath Temple,Gujarat,West,Religious,Temple,Moderate,Summer
Golconda Fort,Telangana,South,Historical,Fort,Easy,Winter
Jagannath Temple,Odisha,East,Religious,Temple,Difficult,Winter
Red Fort,Delhi,North,Historical,Fort,Difficult,Winter
Bandipur National Park,Karnataka,South,Wildlife,National Park,Easy,All Season
Rishikesh,Uttarakhand,North,Adventure,Riverfront,Difficult,Winter
Rock Garden,Chandigarh,North,Nature,Garden,Easy,Winter
Coorg,Karnataka,South,Nature,Hill Station,Easy,All Season
Amber Fort,Rajasthan,North,Historical,Fort,Moderate,All Season
Kedarnath Temple,Uttarakhand,North,Religious,Temple,Moderate,Summer
Sanchi Stupa,Madhya Pradesh,Central,Historical,Monument,Difficult,Monsoon
Khajuraho Temples,Madhya Pradesh,Central,Historical,Temple,Easy,All Season
