Destination Name,State,Region,Category,Popular Attraction,Accessibility
Taj Mahal,Uttar Pradesh,North,Heritage,Taj Mahal,Easy
Jaipur,Rajasthan,West,Heritage,Amber Fort,Easy
Goa,Goa,West,Beach,Calangute Beach,Easy
Kerala Backwaters,Kerala,South,Nature,Vembanad Lake,Moderate
Varanasi,Uttar Pradesh,North,Religious,Ghats of Varanasi,Moderate
Manali,Himachal Pradesh,North,Adventure,Solang Valley,Difficult
Sundarbans,West Bengal,East,Nature,Sundarbans National Park,Difficult
Amritsar,Punjab,North,Religious,Golden Temple,Easy
Mahabalipuram,Tamil Nadu,South,Heritage,Shore Temple,Easy
Andaman Islands,Andaman and Nicobar,East,Beach,Radhanagar Beach,Moderate
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
Kaziranga National Park,Assam,East,Nature,Kaziranga National Park,Moderate
Mysore,Karnataka,South,Heritage,Mysore Palace,Easy
Jaisalmer,Rajasthan,West,Heritage,Jaisalmer Fort,Moderate
Rishikesh,Uttarakhand,North,Adventure,Lakshman Jhula,Difficult
Shimla,Himachal Pradesh,North,Nature,Mall Road,Easy
Udaipur,Rajasthan,West,Heritage,City Palace,Easy
Darjeeling,West Bengal,East,Nature,Tiger Hill,Moderate
Munnar,Kerala,South,Nature,Tea Gardens,Moderate
Ajanta and Ellora Caves,Maharashtra,West,Heritage,Ajanta Caves,Moderate
Cherrapunji,Meghalaya,East,Nature,Nohkalikai Falls,Difficult
